VA,PA,PMU_Type,Rank,Bank,BankGroup
0x7f0033aa9980,0x273fe5980,16,0,13,1
0x7effa3114080,0x1b40cb080,13,0,9,1
0x7f016c54b480,0x287b2e480,13,0,3,3
0x7f0057e96c00,0x2b6861c00,13,0,14,2
0x7f00497c1b80,0x2b7559b80,17,0,13,1
0x7f0060e9c580,0x225805580,16,0,11,3
0x7effb680c780,0x1f1638780,17,0,3,3
0x7f0087c4b100,0x2343c2100,16,0,0,0
0x7f017e3fe000,0x2bbb69000,13,0,8,0
0x7f00efedf480,0x2c0a3a480,13,0,3,3
0x7f0021979900,0x2b35bd900,16,0,12,0
0x7f001accaa00,0x1ecb01a00,14,0,12,0
0x7effd19c6280,0x2bff53280,14,0,9,1
0x7f005bd16b00,0x234e3eb00,17,0,4,0
0x7f0011c01300,0x213ef5300,17,0,8,0
0x7f0084cea180,0x26fb6d180,16,0,9,1
0x7f0080bfe180,0x2b6b29180,16,0,9,1
0x7f0042e20900,0x2bb2c5900,16,0,12,0
0x7f0174f30c80,0x1fb1d6c80,13,0,7,3
0x7f0011615a80,0x1e2de5a80,14,0,13,1
0x7f00f801ad00,0x2ac8c6d00,16,0,6,2
0x7efffbab6080,0x285d36080,13,0,1,1
0x7f010dbdea00,0x1ff611a00,14,0,12,0
0x7effbbca5400,0x215cd0400,13,0,2,2
0x7f00ddbeea80,0x200540a80,14,0,5,1
0x7effeb3a9900,0x20c06c900,16,0,4,0
0x7f00bb863180,0x28e481180,16,0,9,1
0x7f0164c31980,0x268571980,16,0,13,1
0x7f0129e72380,0x2b539a380,17,0,1,1
0x7effd67ab800,0x219210800,13,0,4,0
0x7eff9d17b600,0x1f3cbc600,14,0,2,2
0x7f01782ec400,0x265e1e400,13,0,2,2
0x7f002bc61c00,0x2082b7c00,13,0,14,2
0x7f007f890e00,0x25edabe00,14,0,14,2
0x7f0141f92200,0x15db61200,14,0,8,0
0x7f0182c53100,0x2673c8100,16,0,0,0
0x7f0137526880,0x2b1efa880,13,0,5,1
0x7f00d11a2380,0x2b05f6380,17,0,1,1
0x7f0169fd8300,0x268d51300,17,0,8,0
0x7efff4aafd00,0x230bb1d00,16,0,14,2
0x7effcfb9a080,0x20a0c4080,13,0,1,1
0x7efff62fd180,0x2bcc51180,16,0,9,1
0x7f00ce09ba00,0x2afca6a00,14,0,4,0
0x7effde7f4680,0x204db5680,14,0,11,3
0x7effa8245000,0x2b304a000,13,0,0,0
0x7f015db4f480,0x213ecb480,13,0,11,3
0x7effd3603880,0x2e9b54880,13,0,5,1
0x7f00a2b07e00,0x20cfbbe00,14,0,14,2
0x7f0080116580,0x20bb6b580,16,0,11,3
0x7f00a8fc5d80,0x2bf356d80,16,0,7,3
0x7f016140d480,0x215421480,13,0,11,3
0x7f0077223700,0x1dedc6700,17,0,2,2
0x7f006d4f0080,0x2ba6c2080,13,0,1,1
0x7eff91c07080,0x2b867b080,13,0,9,1
0x7f009b3db280,0x2b0424280,14,0,1,1
0x7f00c4a5d180,0x20586d180,16,0,9,1
0x7f012d6de400,0x2eb6e7400,13,0,10,2
0x7f0104540580,0x26f716580,16,0,3,3
0x7f003e656f00,0x20ed10f00,17,0,6,2
0x7f0035855c00,0x2b8d9bc00,13,0,14,2
0x7f00776a2b00,0x2bdc31b00,17,0,12,0
0x7f00ffe2a580,0x2c4bc5580,16,0,11,3
0x7f00643ae980,0x20b984980,16,0,5,1
